# delay_ms(x) × ESO_w0(y), 每格 625 次
7.692,3.04,2.88,4.32,3.36,4.48,3.36,3.36,4.64,4.00,5.12,4.64,4.96,3.52,4.32,4.16,5.28,5.12,5.76,6.40,4.96,6.08,7.36,5.12,4.48,4.80,6.72,5.12,4.00,4.48,4.32,4.48,4.80,4.32,3.84,4.48,3.52,4.48,4.80,4.96,3.68
8.000,3.36,2.88,4.32,3.52,2.72,2.56,4.16,4.80,5.60,4.64,3.84,4.48,4.96,4.48,5.60,5.28,4.00,4.80,3.68,5.12,5.12,4.16,6.24,6.24,6.08,4.48,6.88,5.44,4.96,4.96,5.92,6.56,4.16,4.80,4.32,5.12,3.20,4.48,5.92,6.24
8.308,2.40,2.88,2.72,2.72,4.48,4.16,4.48,5.28,4.32,2.88,4.80,3.68,4.16,4.80,5.60,4.48,3.84,3.84,4.00,4.96,4.32,4.00,4.80,5.76,7.20,6.08,5.60,4.48,4.16,5.12,5.44,3.52,4.48,5.92,4.80,4.00,4.80,5.76,3.52,3.36
8.615,2.72,3.68,4.00,3.68,4.16,2.24,5.12,4.48,3.84,4.16,6.08,3.84,5.44,5.92,4.96,4.96,5.76,4.16,4.16,5.44,3.68,4.16,4.64,4.80,3.84,5.60,4.00,3.84,6.08,4.48,4.64,6.40,6.40,4.00,4.48,4.32,5.44,5.44,4.32,4.00
8.923,1.92,3.36,3.52,3.04,3.52,4.00,3.04,5.44,5.12,4.80,5.12,4.16,4.96,5.76,4.32,4.64,4.64,4.48,6.40,5.44,4.80,5.60,3.68,6.72,5.92,4.96,6.08,5.12,4.00,5.92,4.80,5.28,3.52,6.40,5.44,5.28,4.00,4.64,4.16,5.76
9.231,2.56,3.36,3.04,5.44,4.80,5.44,3.84,5.12,4.64,4.80,4.80,5.92,4.16,4.96,4.00,5.76,4.96,5.60,6.56,6.40,5.60,4.64,5.76,4.80,5.60,5.92,3.04,6.40,6.72,4.80,4.80,6.88,4.32,5.76,4.48,7.68,5.60,5.60,5.92,3.36
9.538,1.92,2.24,4.32,3.68,4.80,4.96,3.52,4.16,5.28,3.84,2.56,5.28,4.96,4.96,5.44,4.48,5.92,4.96,4.96,4.64,6.24,5.76,5.44,5.76,5.28,4.32,4.48,5.12,5.28,4.80,5.92,5.28,6.40,5.60,5.44,3.68,5.92,6.40,4.64,5.28
9.846,1.60,3.36,2.88,4.96,4.48,3.68,4.32,4.00,2.88,6.40,4.64,5.12,3.84,4.96,4.64,4.96,4.48,4.64,4.96,5.76,4.00,3.68,4.80,4.96,5.28,4.80,5.12,5.92,4.48,5.60,5.28,3.04,6.08,5.28,4.00,7.20,3.68,5.12,4.96,4.64
10.154,3.36,2.88,4.00,4.16,3.36,2.56,4.64,5.12,4.64,4.00,4.96,6.24,4.80,4.64,5.92,4.80,3.52,5.92,5.28,4.64,3.04,4.32,4.00,4.96,4.48,4.96,4.00,4.80,4.48,6.88,4.32,5.44,6.24,6.08,5.76,6.08,4.64,5.12,5.28,5.76
10.462,2.56,3.52,1.92,3.36,3.52,4.64,4.48,5.44,4.80,3.68,5.60,4.32,3.68,3.84,5.28,3.52,4.80,4.16,4.64,4.32,5.44,4.32,7.52,5.12,4.48,4.64,5.92,5.28,5.60,4.16,5.28,3.84,5.12,5.76,4.96,7.04,4.80,4.64,5.92,7.04
10.769,2.72,2.88,3.04,3.84,3.68,3.84,3.68,5.92,3.84,4.96,6.24,4.00,3.68,4.00,6.24,3.68,5.28,5.76,4.96,4.64,4.00,4.00,4.48,4.96,8.32,6.56,6.56,5.28,4.64,5.92,3.84,4.00,3.84,5.76,4.16,4.48,4.48,5.92,4.80,4.48
11.077,2.08,1.92,4.16,3.84,4.48,4.16,4.64,5.28,4.80,3.68,6.24,3.84,5.28,5.28,6.08,5.44,5.44,5.60,5.60,4.96,5.44,5.12,3.04,5.44,4.80,4.48,5.60,4.64,5.28,4.16,5.28,6.08,4.00,5.28,6.56,6.08,4.80,6.56,6.56,6.08
11.385,2.08,3.84,3.84,2.88,4.80,4.00,4.00,3.84,4.80,4.00,4.48,4.64,4.16,6.88,4.48,3.68,6.56,4.48,5.92,6.24,5.28,4.96,4.64,7.20,5.92,3.36,4.80,4.00,5.60,6.72,5.92,5.12,5.92,4.96,5.60,4.48,4.64,2.40,3.68,4.64
11.692,1.44,2.24,3.36,3.36,4.80,3.68,3.20,5.28,4.96,4.80,4.00,2.88,4.32,4.80,4.64,5.44,4.00,5.28,6.40,6.08,5.28,5.92,5.44,7.20,4.96,4.32,5.44,4.64,5.28,6.08,5.76,5.92,4.00,5.76,4.48,4.64,6.88,6.08,4.16,5.44
12.000,2.72,2.24,3.20,4.64,4.00,3.04,5.28,4.48,3.04,4.16,5.44,5.12,4.48,4.32,4.32,4.32,5.28,5.60,3.36,4.00,4.64,4.96,5.12,5.12,4.00,4.16,4.96,4.64,5.92,4.96,6.24,6.40,4.32,7.52,4.80,7.20,4.80,4.64,3.68,5.60
